"","Lácteos y derivados ","Carnes (res, cerdo, pollo, pescado) ","Cereales (arroz, pasta, avena, quinoa) ","Productos cárnicos (chorizos, salchichas, jamón, morcilla, etc). ","Aceites y grasas (aceite de canola, aceite de oliva, aceite de ajonjolí, aceite de aguacate, aguacate, aceitunas) ","Leguminosas (frijol, garbanzo, lenteja, etc) ","Raíces, tubérculos y plátanos (Arracacha, batata, ñame, yuca, papa) ","Frutas (Banano, borojo, chontaduro, manzana, mango)","Verduras","Comidas rápidas(perro, pizza, hamburguesa,etc) ","Snacks o productos de paquete ","Dulces, postres y golosinas","Gaseosas"
"4060","Semanal","Semanal","Diario","Quincenal","Semanal","Semanal","Semanal","Diario","Semanal","No consume","No consume","No consume","No consume"
"4061","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Semanal","No consume"
"4062","Semanal","No consume","Semanal","No consume","Diario","Semanal","Semanal","Semanal","Diario","Quincenal","Semanal","Semanal","No consume"
"4063","Diario","Diario","Quincenal","Mensual","Quincenal","Mensual","Semanal","Diario","Diario","Semanal","Mensual","Diario","No consume"
"4064","Semanal","Semanal","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Quincenal","Semanal","Semanal","Semanal"
"4065","Diario","Semanal","Diario","Quincenal","Diario","Diario","Diario","Semanal","Semanal","Mensual","Semanal","Diario","No consume"
"4066","Diario","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","No consume","No consume","No consume","No consume"
"4067","Diario","Diario","Diario","Quincenal","Diario","Semanal","Semanal","Diario","Diario","Mensual","Quincenal","Mensual","No consume"
"4068","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Quincenal","Semanal","Semanal"
"4069","Semanal","Diario","Diario","Semanal","Semanal","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal"
"4070","Semanal","Diario","Diario","Semanal","Diario","Diario","Diario","Quincenal","Diario","Semanal","Diario","Diario","No consume"
"4071","Diario","Diario","Semanal","Semanal","Diario","Semanal","Semanal","Diario","Semanal","Quincenal","Semanal","Diario","Quincenal"
"4072","Diario","Diario","Diario","Semanal","Semanal","Semanal","Diario","Diario","Diario","Quincenal","Quincenal","Mensual","Mensual"
"4073","Diario","Diario","Mensual","Mensual","Diario","Diario","No consume","Diario","Semanal","Diario","Diario","Semanal","Diario"
"4074","Diario","Diario","Diario","Quincenal","Semanal","Semanal","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario"
"4075","Diario","Semanal","Quincenal","No consume","Semanal","Quincenal","Semanal","Semanal","Semanal","Semanal","Mensual","Quincenal","Semanal"
"4076","Semanal","Diario","Diario","Semanal","No consume","Semanal","Diario","Quincenal","Diario","Mensual","Mensual","Quincenal","Quincenal"
"4077","No consume","Semanal","Quincenal","Semanal","No consume","Quincenal","Diario","No consume","Semanal","Mensual","No consume","No consume","Quincenal"
"4078","Diario","Diario","Quincenal","Quincenal","Quincenal","Quincenal","Semanal","Quincenal","No consume","Quincenal","Mensual","Mensual","No consume"
"4079","Semanal","Diario","Semanal","Semanal","Semanal","Mensual","Mensual","Semanal","Diario","Semanal","Semanal","Semanal","Quincenal"
"4080","Diario","Diario","Semanal","Semanal","Mensual","Mensual","Mensual","Diario","Diario","Mensual","Mensual","Mensual","Mensual"
"4081","Semanal","Semanal","Semanal","Quincenal","Semanal","Semanal","Semanal","Quincenal","Semanal","Mensual","No consume","Quincenal","No consume"
"4082","Quincenal","Semanal","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","No consume","Quincenal","Quincenal","No consume"
"4083","Diario","Diario","Diario","No consume","Semanal","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Semanal"
"4084","Diario","Diario","Diario","No consume","Diario","Semanal","Diario","Diario","Diario","No consume","No consume","No consume","No consume"
"4085","Mensual","Quincenal","Semanal","Quincenal","Mensual","Quincenal","Mensual","Quincenal","Mensual","Quincenal","Mensual","Semanal","Mensual"
"4086","Diario","Diario","Diario","Quincenal","Diario","Quincenal","Diario","Diario","Diario","Quincenal","Semanal","Semanal","No consume"
"4087","Quincenal","Diario","Diario","No consume","No consume","Mensual","Quincenal","Mensual","Diario","Quincenal","Mensual","Mensual","Semanal"
"4088","Semanal","Semanal","Semanal","No consume","Semanal","Semanal","Semanal","Semanal","Semanal","No consume","Semanal","Quincenal","No consume"
"4089","Diario","Diario","Diario","Quincenal","Diario","Semanal","Semanal","Quincenal","Quincenal","Mensual","Quincenal","Semanal","Mensual"
"4090","Diario","Diario","Diario","Mensual","Diario","Diario","Diario","Diario","Diario","No consume","No consume","No consume","No consume"
"4091","Semanal","Diario","Diario","Quincenal","Diario","Semanal","Diario","Diario","Diario","Mensual","Quincenal","Mensual","No consume"
"4092","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Quincenal","Semanal","Diario","Semanal"
"4093","Diario","Diario","Semanal","Quincenal","Semanal","Quincenal","Semanal","Semanal","Semanal","Mensual","Semanal","Semanal","Diario"
"4094","Diario","Diario","Diario","Diario","Mensual","Semanal","Semanal","Mensual","Diario","Quincenal","Semanal","Quincenal","Quincenal"
"4095","Diario","Semanal","Diario","No consume","Quincenal","Diario","Semanal","Semanal","Semanal","No consume","No consume","Mensual","No consume"
"4096","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal"
"4097","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Diario","Semanal","Mensual","Mensual","Quincenal","Quincenal","No consume"
